NAME                                                                           VERSION                              TYPE                                      
@babel/plugin-transform-optional-catch-binding                                 7.28.6                               npm                                       
@babel/plugin-transform-optional-chaining                                      7.28.6                               npm                                       
@babel/plugin-transform-parameters                                             7.27.7                               npm                                       
@babel/plugin-transform-private-methods                                        7.28.6                               npm                                       
@babel/plugin-transform-private-property-in-object                             7.28.6                               npm                                       
@babel/plugin-transform-property-literals                                      7.27.1                               npm                                       
@babel/plugin-transform-regenerator                                            7.29.0                               npm                                       
@babel/plugin-transform-regexp-modifiers                                       7.28.6                               npm                                       
@babel/plugin-transform-reserved-words                                         7.27.1                               npm                                       
@babel/plugin-transform-shorthand-properties                                   7.27.1                               npm                                       
@babel/plugin-transform-spread                                                 7.28.6                               npm                                       
@babel/plugin-transform-sticky-regex                                           7.27.1                               npm                                       
@babel/plugin-transform-template-literals                                      7.27.1                               npm                                       
@babel/plugin-transform-typeof-symbol                                          7.27.1                               npm                                       
@babel/plugin-transform-typescript                                             7.28.6                               npm                                       
@babel/plugin-transform-unicode-escapes                                        7.27.1                               npm                                       
@babel/plugin-transform-unicode-property-regex                                 7.28.6                               npm                                       
@babel/plugin-transform-unicode-regex                                          7.27.1                               npm                                       
@babel/plugin-transform-unicode-sets-regex                                     7.28.6                               npm                                       
@babel/preset-env                                                              7.29.2                               npm                                       
@babel/preset-modules                                                          0.1.6-no-external-plugins            npm                                       
@babel/runtime                                                                 7.29.2                               npm                                       
@babel/template                                                                7.28.6                               npm                                       
@babel/template                                                                7.29.7                               npm                                       
@babel/traverse                                                                7.29.0                               npm                                       
@babel/traverse                                                                7.29.7                               npm                                       
@babel/types                                                                   7.23.4                               npm                                       
@babel/types                                                                   7.29.0                               npm                                       
@babel/types                                                                   7.29.7                               npm                                       
@bcoe/v8-coverage                                                              1.0.2                                npm                                       
@codemirror/autocomplete                                                       6.20.3                               npm                                       
@codemirror/commands                                                           6.10.3                               npm                                       
@codemirror/lang-css                                                           6.3.1                                npm                                       
@codemirror/lang-html                                                          6.4.11                               npm                                       
@codemirror/lang-javascript                                                    6.2.5                                npm                                       
@codemirror/lang-json                                                          6.0.2                                npm                                       
@codemirror/lang-markdown                                                      6.5.0                                npm                                       
@codemirror/lang-python                                                        6.2.1                                npm                                       
@codemirror/lang-sass                                                          6.0.2                                npm                                       
@codemirror/lang-sql                                                           6.10.0                               npm                                       
@codemirror/lang-xml                                                           6.1.0                                npm                                       
@codemirror/lang-yaml                                                          6.1.3                                npm                                       
@codemirror/language                                                           6.12.3                               npm                                       
@codemirror/lint                                                               6.9.7                                npm                                       
@codemirror/search                                                             6.7.1                                npm                                       
@codemirror/state                                                              6.6.0                                npm                                       
@codemirror/view                                                               6.43.1                               npm                                       
@cropper/element                                                               2.1.1                                npm                                       
@cropper/element-canvas                                                        2.1.1                                npm                                       
@cropper/element-crosshair                                                     2.1.1                                npm                                       
@cropper/element-grid                                                          2.1.1                                npm                                       
@cropper/element-handle                                                        2.1.1                                npm                                       
@cropper/element-image                                                         2.1.1                                npm                                       
@cropper/element-selection                                                     2.1.1                                npm                                       
@cropper/element-shade                                                         2.1.1                                npm                                       
@cropper/element-viewer                                                        2.1.1                                npm                                       
@cropper/elements                                                              2.1.1                                npm                                       
@cropper/utils                                                                 2.1.1                                npm                                       
@date-fns/tz                                                                   1.5.0                                npm                                       
@dnd-kit/accessibility                                                         3.1.1                                npm                                       
@dnd-kit/core                                                                  6.3.1                                npm                                       
@dnd-kit/sortable                                                              10.0.0                               npm                                       
@dnd-kit/utilities                                                             3.2.2                                npm                                       
@editorjs/editorjs                                                             2.28.2                               npm                                       
@emnapi/core                                                                   1.11.1                               npm                                       
@emnapi/core                                                                   1.9.2                                npm                                       
@emnapi/runtime                                                                1.11.1                               npm                                       
@emnapi/runtime                                                                1.9.2                                npm                                       
@emnapi/wasi-threads                                                           1.2.1                                npm                                       
@emnapi/wasi-threads                                                           1.2.2                                npm                                       
@esbuild/aix-ppc64                                                             0.21.5                               npm                                       
@esbuild/android-arm                                                           0.21.5                               npm                                       
@esbuild/android-arm64                                                         0.21.5                               npm                                       
@esbuild/android-x64                                                           0.21.5                               npm                                       
@esbuild/darwin-arm64                                                          0.21.5                               npm                                       
@esbuild/darwin-x64                                                            0.21.5                               npm                                       
@esbuild/freebsd-arm64                                                         0.21.5                               npm                                       
@esbuild/freebsd-x64                                                           0.21.5                               npm                                       
@esbuild/linux-arm                                                             0.21.5                               npm                                       
@esbuild/linux-arm64                                                           0.21.5                               npm                                       
@esbuild/linux-ia32                                                            0.21.5                               npm                                       
@esbuild/linux-loong64                                                         0.14.54                              npm                                       
@esbuild/linux-loong64                                                         0.21.5                               npm                                       
@esbuild/linux-mips64el                                                        0.21.5                               npm                                       
@esbuild/linux-ppc64                                                           0.21.5                               npm                                       
@esbuild/linux-riscv64                                                         0.21.5                               npm                                       
@esbuild/linux-s390x                                                           0.21.5                               npm                                       
@esbuild/linux-x64                                                             0.21.5                               npm                                       
@esbuild/netbsd-x64                                                            0.21.5                               npm                                       
@esbuild/openbsd-x64                                                           0.21.5                               npm                                       
@esbuild/sunos-x64                                                             0.21.5                               npm                                       
@esbuild/win32-arm64                                                           0.21.5                               npm                                       
@esbuild/win32-ia32                                                            0.21.5                               npm                                       
@esbuild/win32-x64                                                             0.21.5                               npm                                       
@eslint-community/eslint-utils                                                 4.9.1                                npm                     (+1 duplicate)    
@eslint-community/regexpp                                                      4.12.2                               npm                     (+1 duplicate)    
@eslint/config-array                                                           0.21.2                               npm                                       
@eslint/config-array                                                           0.23.5                               npm                                       
@eslint/config-helpers                                                         0.4.2                                npm                                       
@eslint/config-helpers                                                         0.5.5                                npm                                       
@eslint/core                                                                   0.17.0                               npm                                       
@eslint/core                                                                   1.2.1                                npm                                       
@eslint/eslintrc                                                               3.3.5                                npm                                       
@eslint/js                                                                     10.0.1                               npm                                       
@eslint/js                                                                     9.39.4                               npm                                       
@eslint/object-schema                                                          2.1.7                                npm                                       
@eslint/object-schema                                                          3.0.5                                npm                                       
@eslint/plugin-kit                                                             0.4.1                                npm                                       
@eslint/plugin-kit                                                             0.7.1                                npm                                       
@floating-ui/core                                                              1.7.5                                npm                     (+1 duplicate)    
@floating-ui/dom                                                               1.7.6                                npm                     (+1 duplicate)    
@floating-ui/react-dom                                                         2.1.8                                npm                                       
@floating-ui/utils                                                             0.2.11                               npm                     (+1 duplicate)    
@floating-ui/vue                                                               1.1.11                               npm                                       
@framework/ui                                                                  0.0.0                                npm                                       
@frappe/esbuild-plugin-postcss2                                                0.1.3                                npm                                       
@fullcalendar/core                                                             6.1.11                               npm                                       
@fullcalendar/daygrid                                                          6.1.11                               npm                                       
@fullcalendar/interaction                                                      6.1.11                               npm                                       
@fullcalendar/list                                                             6.1.11                               npm                                       
@fullcalendar/timegrid                                                         6.1.11                               npm                                       
@headlessui/vue                                                                1.7.16                               npm                                       
@headlessui/vue                                                                1.7.23                               npm                                       
@humanfs/core                                                                  0.19.1                               npm                                       
@humanfs/core                                                                  0.19.2                               npm                                       
@humanfs/node                                                                  0.16.7                               npm                                       
@humanfs/node                                                                  0.16.8                               npm                                       
@humanfs/types                                                                 0.15.0                               npm                                       
@humanwhocodes/module-importer                                                 1.0.1                                npm                     (+1 duplicate)    
@humanwhocodes/retry                                                           0.4.3                                npm                     (+1 duplicate)    
@iconify/types                                                                 2.0.0                                npm                                       
@iconify/utils                                                                 3.1.0                                npm                                       
@interactjs/types                                                              1.10.27                              npm                                       
@internationalized/date                                                        3.12.0                               npm                                       
@internationalized/number                                                      3.6.5                                npm                                       
@isaacs/cliui                                                                  9.0.0                                npm                                       
@jridgewell/gen-mapping                                                        0.3.13                               npm                     (+1 duplicate)    
@jridgewell/remapping                                                          2.3.5                                npm                     (+1 duplicate)    
@jridgewell/resolve-uri                                                        3.1.2                                npm                     (+1 duplicate)    
@jridgewell/source-map                                                         0.3.11                               npm                                       
@jridgewell/sourcemap-codec                                                    1.4.15                               npm                                       
@jridgewell/sourcemap-codec                                                    1.5.5                                npm                     (+1 duplicate)    
@jridgewell/trace-mapping                                                      0.3.31                               npm                     (+1 duplicate)    
@juggle/resize-observer                                                        3.4.0                                npm                                       
@lezer/common                                                                  1.5.2                                npm                                       
@lezer/css                                                                     1.3.3                                npm                                       
@lezer/highlight                                                               1.2.3                                npm                                       
@lezer/html                                                                    1.3.13                               npm                                       
@lezer/javascript                                                              1.5.4                                npm                                       
@lezer/json                                                                    1.0.3                                npm                                       
@lezer/lr                                                                      1.4.10                               npm                                       
@lezer/markdown                                                                1.6.4                                npm                                       
@lezer/python                                                                  1.1.19                               npm                                       
@lezer/sass                                                                    1.1.0                                npm                                       
@lezer/xml                                                                     1.0.6                                npm                                       
@lezer/yaml                                                                    1.0.4                                npm                                       
@marijn/find-cluster-break                                                     1.0.2                                npm                                       
@napi-rs/wasm-runtime                                                          1.1.4                                npm                                       
@napi-rs/wasm-runtime                                                          1.1.6                                npm                                       
@nodelib/fs.scandir                                                            2.1.5                                npm                     (+1 duplicate)    
@nodelib/fs.stat                                                               2.0.5                                npm                     (+1 duplicate)    
@nodelib/fs.walk                                                               1.2.8                                npm                     (+1 duplicate)    
@oxc-project/types                                                             0.124.0                              npm                                       
@oxc-project/types                                                             0.137.0                              npm                                       
@popperjs/core                                                                 2.11.8                               npm                     (+1 duplicate)    
@radix-ui/number                                                               1.1.2                                npm                                       
@radix-ui/primitive                                                            1.1.4                                npm                                       
@radix-ui/react-accessible-icon                                                1.1.11                               npm                                       
@radix-ui/react-accordion                                                      1.2.15                               npm                                       
@radix-ui/react-alert-dialog                                                   1.1.18                               npm                                       
@radix-ui/react-arrow                                                          1.1.11                               npm                                       
@radix-ui/react-aspect-ratio                                                   1.1.11                               npm                                       
@radix-ui/react-avatar                                                         1.2.1                                npm                                       
@radix-ui/react-checkbox                                                       1.3.6                                npm                                       
@radix-ui/react-collapsible                                                    1.1.15                               npm                                       
@radix-ui/react-collection                                                     1.1.11                               npm                                       
@radix-ui/react-compose-refs                                                   1.1.3                                npm                                       
@radix-ui/react-context                                                        1.1.4                                npm                                       
@radix-ui/react-context-menu                                                   2.3.2                                npm                                       
@radix-ui/react-dialog                                                         1.1.18                               npm                                       
@radix-ui/react-direction                                                      1.1.2                                npm                                       
@radix-ui/react-dismissable-layer                                              1.1.14                               npm                                       
@radix-ui/react-dropdown-menu                                                  2.1.19                               npm                                       
@radix-ui/react-focus-guards                                                   1.1.4                                npm                                       
